,Unnamed: 0,WhiteElo,BlackElo,WhiteName,BlackName,Winner,Termination,Site,Day,Month,Year,InitialTime,Increment,TimeControl,Opening,ECO,Number_of_Moves
0,0,1639,1403,BFG9k,mamalak,White,Normal,https://lichess.org/j1dkb5dw,31,12,2012,600,8,Rapid,French Defense: Normal Variation,C00,13
1,1,1654,1919,Desmond_Wilson,savinka59,White,Normal,https://lichess.org/a9tcp02g,31,12,2012,480,2,Rapid,"Queen's Pawn Game: Colle System, Anti-Colle",D04,18
2,2,1643,1747,Kozakmamay007,VanillaShamanilla,White,Normal,https://lichess.org/szom2tog,31,12,2012,420,17,Rapid,Four Knights Game: Italian Variation,C50,11
3,3,1824,1973,Naitero_Nagasaki,800,Black,Normal,https://lichess.org/rklpc7mk,31,12,2012,60,1,Bullet,Caro-Kann Defense: Goldman Variation,B12,47
4,4,1765,1815,nichiren1967,Naitero_Nagasaki,Black,Normal,https://lichess.org/1xb3os63,31,12,2012,60,1,Bullet,French Defense: La Bourdonnais Variation,C00,23
5,5,1477,1487,sport,shamirbj,White,Time forfeit,https://lichess.org/6x5nq6qd,31,12,2012,300,3,Blitz,Owen Defense,B00,32
6,6,1541,1500,tiggran,arion_6,Black,Normal,https://lichess.org/fl7asfa0,31,12,2012,300,0,Blitz,"Italian Game: Classical Variation, Giuoco Pianissimo",C53,19
7,7,1765,1752,hostking,troepianiz,White,Normal,https://lichess.org/7b44wxzu,31,12,2012,540,0,Rapid,English Opening: The Whale,C20,28
8,8,1445,1169,manos68,jtkjtkful,White,Normal,https://lichess.org/7rzcutsf,31,12,2012,900,0,Rapid,Old Benoni Defense,A43,37
9,9,1522,1428,adamsrj,hamiakaz,Black,Normal,https://lichess.org/9opx3qh7,31,12,2012,180,5,Blitz,Englund Gambit Complex: Hartlaub-Charlick Gambit,A40,45
10,10,1644,1544,BFG9k,Sagaz,Black,Normal,https://lichess.org/1hi3aveq,31,12,2012,600,8,Rapid,Modern Defense,B06,37
11,11,1957,1755,arion_6,Naitero_Nagasaki,Black,Normal,https://lichess.org/n5crd00d,31,12,2012,300,8,Rapid,"French Defense: Classical Variation, Richter Attack",C13,47
12,12,1656,1812,Kozakmamay007,vadi,White,Normal,https://lichess.org/iinnkv77,31,12,2012,420,17,Rapid,Giuoco Piano,C50,25
13,13,1436,1506,Abd0,Killi,White,Normal,https://lichess.org/z2ncoii6,31,12,2012,420,0,Blitz,Ruy Lopez: Cozio Defense,C60,35
14,14,1878,1940,nichiren1967,chinokoli,Draw,Normal,https://lichess.org/vb3w3rmn,31,12,2012,300,0,Blitz,Sicilian Defense: McDonnell Attack,B21,59
15,15,1742,1775,troepianiz,hostking,Black,Normal,https://lichess.org/q7s1nprp,31,12,2012,540,0,Rapid,Nimzo-Larsen Attack: Modern Variation #2,A01,8
16,16,1824,1811,Voltvolf,Marzinkus,White,Normal,https://lichess.org/iclkx584,31,12,2012,360,6,Rapid,French Defense: Advance Variation #2,C02,37
17,17,1653,1395,VanillaShamanilla,mamalak,White,Time forfeit,https://lichess.org/i62y90w7,31,12,2012,1200,0,Rapid,French Defense: Normal Variation,C00,64
18,18,1897,1673,savinka59,Desmond_Wilson,White,Time forfeit,https://lichess.org/kpyneu5v,31,12,2012,480,2,Rapid,Scandinavian Defense: Mieses-Kotroc Variation,B01,30
19,19,1492,1451,Killi,Abd0,White,Normal,https://lichess.org/mntamgdj,31,12,2012,420,0,Blitz,Bishop's Opening: Berlin Defense,C24,19
20,20,1500,1585,ghosty,jorespi,White,Normal,https://lichess.org/55a83jiu,31,12,2012,300,0,Blitz,King's Gambit,C30,36
